application,size,branch,l1i_pref,l1d_pref,l2c_pref,llc_pref,llc_rep,inst,cycles,ipc,l1i_tot_hit,l1i_tot_miss,l1i_pref_issued,l1i_pref_useful,l1i_pref_useless,l1i_lat,l1d_tot_hit,l1d_tot_miss,l1d_pref_issued,l1d_pref_useful,l1d_pref_useless,l1d_lat,l2c_tot_hit,l2c_tot_miss,l2c_pref_issued,l2c_pref_useful,l2c_pref_useless,l2c_lat,llc_tot_hit,llc_tot_miss,llc_pref_issued,llc_pref_useful,llc_pref_useless,llc_lat,branch_acc,mpki,branch_direct,branch_indirect,branch_cond,branch_dir_call,branch_ind_call,branch_ret
bzip2,38B,bimodal,next_line,next_line2,no,no,lru,200000000,187534552,1.06647,34196800,96,437,120,0,175.083,96635330,3360039,51630779,443472,1221033,32.8508,3090654,990810,0,117602,316095,67.3209,1192949,205294,0,23319,73349,180.111,90.8673,13.1804,1.28967,0,12.1421,0.500209,0,0.500209
gcc,48B,bimodal,next_line,next_line2,no,no,lru,200000001,148572843,1.34614,52002482,0,137,29,0,nan,99036048,1878511,44584145,462160,703951,21.2592,1843292,68665,0,4205,27473,183.069,17522,66445,0,489,20073,157.725,99.3675,1.40859,3.02167,1.48105,14.7201,1.51518,0.0084865,1.52366
povray,252B,bimodal,next_line,next_line2,no,no,lru,200000002,262656560,0.761451,34547806,908209,1470182,293367,142021,12.3714,107785038,3665797,56513080,677330,1202782,14.1047,5007468,1719,0,1284,711,151.809,164,1577,0,16,0,132.488,93.5567,9.53053,0.996704,0.021924,9.06942,1.69565,0.656016,2.35167
calculix,460B,bimodal,next_line,next_line2,no,no,lru,200000001,113147696,1.7676,34282750,578,729,139,42,166.08,71623327,2555281,45430025,2481386,55603,26.8852,2200753,865986,0,8288,798923,57.9958,926017,190684,0,10953,167401,126.604,98.7532,0.643275,0.050287,9e-06,4.99263,0.05817,0,0.05817
astar,42B,bimodal,next_line,next_line2,no,no,lru,200000002,587928524,0.340177,39541276,127,167,34,0,176.457,74129250,10645550,45328324,817247,5983029,43.4162,7251539,5319429,0,140077,3236226,51.687,5722165,611686,0,141753,315299,169.2,72.2344,52.4127,0.013436,0,18.8589,0.0022445,0,0.0022445
