application,size,branch,l1i_pref,l1d_pref,l2c_pref,llc_pref,llc_rep,inst,cycles,ipc,l1i_tot_hit,l1i_tot_miss,l1i_pref_issued,l1i_pref_useful,l1i_pref_useless,l1i_lat,l1d_tot_hit,l1d_tot_miss,l1d_pref_issued,l1d_pref_useful,l1d_pref_useless,l1d_lat,l2c_tot_hit,l2c_tot_miss,l2c_pref_issued,l2c_pref_useful,l2c_pref_useless,l2c_lat,llc_tot_hit,llc_tot_miss,llc_pref_issued,llc_pref_useful,llc_pref_useless,llc_lat,branch_acc,mpki,branch_direct,branch_indirect,branch_cond,branch_dir_call,branch_ind_call,branch_ret
bzip2,38B,bimodal,next_line8,next_line,no,no,lru,200000000,187530618,1.06649,34196778,97,682,172,0,201.113,96635649,3360005,51630637,443535,1221001,32.8502,3090617,990814,0,117603,316139,67.3014,1192953,205293,0,23315,73388,180.018,90.8673,13.1804,1.28967,0,12.1421,0.500209,0,0.500209
gcc,48B,bimodal,next_line8,next_line,no,no,lru,200000001,148572843,1.34614,52002482,0,212,40,0,nan,99036048,1878511,44584147,462160,703951,21.2592,1843292,68665,0,4205,27501,183.069,17522,66445,0,489,20101,157.725,99.3675,1.40859,3.02167,1.48105,14.7201,1.51518,0.0084865,1.52366
povray,252B,bimodal,next_line8,next_line,no,no,lru,200000002,262579319,0.761675,34792873,1166494,2712106,499067,313479,13.4548,107736150,3665703,56490778,677528,1202811,14.1116,5265464,1799,0,1323,808,147.386,256,1582,0,21,0,133.176,93.5567,9.53053,0.996704,0.021924,9.06942,1.69565,0.656016,2.35167
calculix,460B,bimodal,next_line8,next_line,no,no,lru,200000001,113157327,1.76745,34282861,688,1276,204,107,172.983,71630352,2555281,45431104,2480990,55603,26.8528,2204012,862837,0,8284,796075,58.2118,923025,190818,0,10998,167531,127.032,98.7532,0.643275,0.050287,9e-06,4.99263,0.05817,0,0.05817
astar,42B,bimodal,next_line8,next_line,no,no,lru,200000002,587927162,0.340178,39541307,140,300,47,0,185.464,74129226,10645550,45328322,817247,5983029,43.4164,7251540,5319441,0,140077,3236256,51.6879,5722163,611700,0,141753,315330,169.204,72.2344,52.4127,0.013436,0,18.8589,0.0022445,0,0.0022445
