application,size,branch,l1i_pref,l1d_pref,l2c_pref,llc_pref,llc_rep,inst,cycles,ipc,l1i_tot_hit,l1i_tot_miss,l1i_pref_issued,l1i_pref_useful,l1i_pref_useless,l1i_lat,l1d_tot_hit,l1d_tot_miss,l1d_pref_issued,l1d_pref_useful,l1d_pref_useless,l1d_lat,l2c_tot_hit,l2c_tot_miss,l2c_pref_issued,l2c_pref_useful,l2c_pref_useless,l2c_lat,llc_tot_hit,llc_tot_miss,llc_pref_issued,llc_pref_useful,llc_pref_useless,llc_lat,branch_acc,mpki,branch_direct,branch_indirect,branch_cond,branch_dir_call,branch_ind_call,branch_ret
bzip2,38B,bimodal,next_line,stream32,ip_stride,no,lru,200000000,184232454,1.08559,34155111,96,441,116,0,176.646,176830254,6946681,160731706,669590,4604281,24.847,8581789,1568962,8896126,274373,819001,52.9309,1784114,212402,0,32997,96531,170.725,90.8673,13.1804,1.28967,0,12.1421,0.500209,0,0.500209
bzip2,38B,bimodal,no,stream32,no,no,lru,200000000,186353951,1.07323,34184791,94,0,0,0,241.564,174924335,6940140,159552076,666985,4599626,26.899,6322047,1400258,0,203828,669334,55.1356,1612656,209672,0,32215,77008,167.895,90.8673,13.1804,1.28967,0,12.1421,0.500209,0,0.500209
bzip2,38B,hashed_perceptron,next_line,stream32,kpcp,next_line,drrip,200000000,173559841,1.15234,34521310,96,401,128,0,89.3229,171664418,6865897,156205118,663628,4526882,24.6285,6503716,1458722,4266595,250590,718005,48.1431,3960708,217848,2706616,41486,85119,182.331,93.1077,9.94713,1.28967,0,12.1421,0.500209,0,0.500209
gcc,48B,bimodal,next_line,stream32,ip_stride,no,lru,200000001,149546349,1.33738,52142338,0,146,27,0,nan,163168340,9784692,136842847,1416608,7684553,17.9062,13559771,135008,16045195,16605,101972,198.889,26785,124323,0,1374,88491,181.187,99.3675,1.40859,3.02167,1.48105,14.7201,1.51518,0.0084865,1.52366
gcc,48B,bimodal,no,stream32,no,no,lru,200000001,150023111,1.33313,52143399,2,0,0,0,221.5,163108701,9785679,136816428,1417509,7687787,18.1437,9727396,116343,0,12549,80593,193.386,23579,108309,0,1194,67820,173.14,99.3675,1.40859,3.02167,1.48105,14.7201,1.51518,0.0084865,1.52366
gcc,48B,hashed_perceptron,next_line,stream32,kpcp,next_line,drrip,200000001,145342033,1.37606,52272171,1,145,27,0,44,161437264,9761592,135301401,1407790,7666027,17.7975,9713134,120519,435810,12099,85381,176.608,219100,140699,274913,7031,104884,192.02,99.8948,0.23418,3.02167,1.48105,14.7201,1.51518,0.0084865,1.52366
povray,252B,bimodal,next_line,stream32,ip_stride,no,lru,200000002,261639941,0.764409,34222627,905026,1497161,283988,142007,12.3458,230175456,12843187,222739215,2213531,9459441,15.4169,18416799,8957,22149095,2627,6970,62.3603,7190,2054,0,90,0,140.527,93.5567,9.53053,0.996704,0.021924,9.06942,1.69565,0.656016,2.35167
povray,252B,bimodal,no,stream32,no,no,lru,200000002,262714298,0.761283,34056347,664319,0,0,0,14.0793,230778367,12882412,223282893,2222242,9487609,15.5602,14163842,2977,0,1790,618,120.262,1129,1982,0,33,0,134.903,93.5567,9.53053,0.996704,0.021924,9.06942,1.69565,0.656016,2.35167
povray,252B,hashed_perceptron,next_line,stream32,kpcp,next_line,drrip,200000002,217585183,0.91918,42985115,893811,1550137,289866,139568,12.4672,208613795,12382390,201844566,2184144,9018262,15.6175,13894543,6927,703073,2725,4362,54.5193,812199,2771,549004,435,48,148.219,99.7498,0.37001,0.996704,0.021924,9.06942,1.69565,0.656016,2.35167
calculix,460B,bimodal,next_line,stream32,ip_stride,no,lru,200000003,111852441,1.78807,34264308,581,730,139,43,169.47,97135997,2612270,71033841,1711191,127422,26.0663,5464597,927520,6180961,306337,553451,53.7521,988554,195336,0,14771,165569,112.808,98.7532,0.643275,0.050287,9e-06,4.99263,0.05817,0,0.05817
calculix,460B,bimodal,no,stream32,no,no,lru,200000003,112524372,1.77739,34271373,465,0,0,0,194.935,95698534,2612645,70514134,1721411,127747,32.4607,2210125,913734,0,157861,566688,53.1322,973177,195246,0,32930,133622,107.821,98.7532,0.643275,0.050287,9e-06,4.99263,0.05817,0,0.05817
calculix,460B,hashed_perceptron,next_line,stream32,kpcp,next_line,drrip,200000002,109476941,1.82687,34068413,572,701,152,36,107.58,96769663,2608716,70852652,1876679,123644,27.0427,2472999,930183,3816417,205680,601532,45.4771,3071636,229405,2655892,59586,182699,137.787,99.8856,0.059035,0.050287,9e-06,4.99263,0.05817,0,0.05817
astar,42B,bimodal,next_line,stream32,ip_stride,no,lru,200000000,689068720,0.290247,39541412,128,169,34,0,186.758,144320543,38131409,152205587,949758,36278936,67.5375,12980568,39390736,76964736,267811,38430911,63.0916,33912302,7515330,0,180846,7165901,159.202,72.2344,52.4127,0.013436,0,18.8589,0.0022445,0,0.0022445
astar,42B,bimodal,no,stream32,no,no,lru,200000000,657576147,0.304147,39541240,114,0,0,0,216.096,144511269,38151112,152280417,953308,36300712,60.8768,10667875,29487363,0,222632,27924701,54.9379,26871051,4183094,0,180509,3887667,154.169,72.2344,52.4127,0.013436,0,18.8589,0.0022445,0,0.0022445
astar,42B,hashed_perceptron,next_line,stream32,kpcp,next_line,drrip,200000000,550499876,0.363306,36947882,125,148,41,0,129.128,116859648,36779145,126952276,915468,34885842,71.0718,13693203,33992506,116603444,247193,32668342,64.4192,47790078,8689036,51411013,203043,8494763,175.719,84.4288,29.3935,0.013436,0,18.8589,0.0022445,0,0.0022445
